iter	Passed	Remaining
0	4	945
1	9	898
2	13	885
3	17	833
4	20	786
5	22	731
6	24	683
7	26	641
8	28	612
9	30	579
10	31	549
11	33	524
12	35	506
13	36	487
14	38	470
15	39	455
16	41	443
17	42	433
18	44	423
19	45	413
20	47	405
21	49	397
22	50	390
23	52	383
24	53	376
25	55	369
26	56	363
27	58	359
28	60	354
29	61	348
30	62	343
31	64	338
32	65	333
33	67	329
34	68	324
35	70	321
36	72	318
37	74	315
38	76	314
39	78	312
40	79	309
41	81	306
42	83	304
43	85	302
44	87	301
45	89	299
46	91	296
47	93	294
48	95	292
49	96	290
50	99	289
51	101	287
52	103	285
53	105	284
54	106	282
55	109	280
56	111	278
57	113	276
58	114	274
59	117	273
60	119	271
61	121	269
62	122	267
63	124	265
64	126	263
65	128	261
66	130	259
67	132	257
68	134	255
69	136	253
70	138	251
71	140	249
72	142	247
73	144	245
74	146	244
75	148	242
76	150	240
77	152	238
78	154	236
79	156	234
80	158	232
81	160	230
82	162	229
83	164	227
84	169	229
85	173	230
86	177	230
87	182	232
88	185	231
89	188	230
90	191	229
91	193	227
92	195	225
93	197	222
94	199	220
95	200	217
96	201	214
97	203	211
98	205	209
99	206	206
100	207	203
101	209	201
102	211	198
103	212	196
104	214	193
105	215	191
106	217	188
107	218	186
108	220	183
109	221	181
110	223	179
111	225	177
112	227	174
113	228	172
114	230	170
115	232	168
116	234	166
117	236	164
118	238	162
119	240	160
120	242	158
121	245	156
122	247	154
123	249	152
124	251	150
125	253	148
126	255	146
127	257	144
128	259	142
129	261	140
130	263	138
131	265	136
132	267	134
133	270	133
134	272	131
135	275	129
136	277	127
137	279	125
138	281	123
139	283	121
140	285	119
141	287	117
142	289	115
143	291	113
144	293	111
145	295	109
146	298	107
147	300	105
148	301	103
149	303	101
150	305	99
151	307	97
152	310	95
153	312	93
154	314	91
155	316	89
156	318	87
157	320	85
158	322	83
159	324	81
160	326	79
161	328	77
162	330	75
163	332	73
164	335	71
165	337	69
166	339	67
167	341	65
168	343	63
169	345	60
170	347	58
171	349	56
172	351	54
173	353	52
174	355	50
175	357	48
176	359	46
177	361	44
178	363	42
179	365	40
180	367	38
181	369	36
182	371	34
183	373	32
184	375	30
185	377	28
186	379	26
187	381	24
188	383	22
189	385	20
190	387	18
191	389	16
192	391	14
193	393	12
194	395	10
195	397	8
196	399	6
197	401	4
198	404	2
199	406	0
